id	title	description	link	image_link	availability	price	brand	condition	quantity	shipping_label	shipping_weight	product_type	custom_label_1	product_highlights	product_details	mpn	google_product_category	custom_label_0	custom_label_2	custom_label_3	additional_image_link
HC-0DNL-FAS	FAS 2.7L IHI Supercharger Rebuild	Restore your 2.7L IHI supercharger to peak performance with our complete rebuild service, using upgraded bearings, seals, and precision assembly from FAS Motorsports.	https://www.fasmotorsports.com/shop/2-7l-ihi-supercharger-rebuild	https://cdn.sanity.io/images/r4og35qd/production/5740018ad5d43a29ef6821b68c60a5bc4489287d-800x800.png	in stock	1200.00 USD	F.A.S. Motorsports	new	30	performance_parts	1.00 lb	physical > Supercharger Rebuild	Supercharger Rebuild	Restore your 2.7L IHI supercharger to peak performance with our complete rebuild service, using upgraded bearings, seals, and precision assembly from | Horsepower Range Supported: 700-1200+whp | Service Type: Complete rebuild of customer-supplied IHI 2.7L supercharger | Compatible Housing: OEM Dodge IHI 2.7L supercharger (Hellcat/Trackhawk/TRX/Durango) | Rotor Material: OEM IHI aluminum rotors with Teflon sealing | Pulley Compatibility: Stock or aftermarket FAS billet pulleys	section_name:Specifications; attribute_name:Service Type; attribute_value:Complete rebuild of customer-supplied IHI 2.7L supercharger | section_name:Specifications; attribute_name:Compatible Housing; attribute_value:OEM Dodge IHI 2.7L supercharger (Hellcat/Trackhawk/TRX/Durango) | section_name:Specifications; attribute_name:Rotor Material; attribute_value:OEM IHI aluminum rotors with Teflon sealing | section_name:Specifications; attribute_name:Pulley Compatibility; attribute_value:Stock or aftermarket FAS billet pulleys | section_name:Specifications; attribute_name:Finish; attribute_value:Retains factory or custom-painted housing (optional upgrade) | section_name:Performance Profile; attribute_name:Horsepower Range Supported; attribute_value:700-1200+whp | section_name:Included Components; attribute_name:Package includes; attribute_value:Full disassembly & inspection; Ultrasonic cleaning of housing and rotors; Replacement of all bearings, seals, and couplers; Rotor pack inspection & re-coating (if required); Shaft & pulley inspection; Precision balancing and reassembly; Torque spec assembly to OEM or upgraded spec | section_name:Fitment & Category; attribute_name:Categories; attribute_value:Supercharger Rebuild | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Supercharger Rebuild | section_name:Fitment & Category; attribute_name:Tags; attribute_value:800 1500whp, Supercharger Service, Supercharger, Services	HC-0DNL	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	
PR-TX72-FAS	6" Axel-Back Exhaust (2011+ 6.7L Powerstroke)	Unleash the true potential of your 6.7L Powerstroke with the FAS Motorsports 6" Axel-Back Exhaust System.	https://www.fasmotorsports.com/shop/fas-6-axel-back-exhaust-2011-6-7l-powerstroke	https://cdn.sanity.io/images/r4og35qd/production/05794a199e9619983e3555e618273a1736efd29b-1000x1000.png	in stock	899.99 USD	F.A.S. Motorsports	new	100	performance_parts	1.00 lb	physical > Performance Upgrades > Diesel	Performance Upgrades	Unleash the true potential of your 6.7L Powerstroke with the FAS Motorsports 6" Axel-Back Exhaust System. | Finish: Stainless Steel | Vehicle Fitment: 2011+ Ford F-250/F-350/F-450 with 6.7L Powerstroke | Finish: Polished stainless steel | Material: T304 Stainless Steel | Diameter: inches	section_name:Specifications; attribute_name:Vehicle Fitment; attribute_value:2011+ Ford F-250/F-350/F-450 with 6.7L Powerstroke | section_name:Specifications; attribute_name:Finish; attribute_value:Polished stainless steel | section_name:Specifications; attribute_name:Material; attribute_value:T304 Stainless Steel | section_name:Specifications; attribute_name:Diameter; attribute_value:inches | section_name:Specifications; attribute_name:Installation; attribute_value:Axel-Back | section_name:Specifications; attribute_name:Connection; attribute_value:Slip-Fit | section_name:Performance Profile; attribute_name:Finish; attribute_value:Stainless Steel | section_name:Included Components; attribute_name:Package includes; attribute_value:1× 6" Axel-Back Exhaust Pipe; All necessary clamps and hardware for installation | section_name:Fitment & Category; attribute_name:Categories; attribute_value:Performance Upgrades, Diesel | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Performance Upgrades > Diesel	PR-TX72	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	
HC-NTG5-FAS	2.4L 130mm Billet Supercharger Snout	This 130mm Billet Supercharger snout will be a DIRECT BOLT ON to your factory 2.4L Supercharger. Pre-Orders are NOW LIVE!	https://www.fasmotorsports.com/shop/2-4l-130mm-billet-supercharger-snout	https://cdn.sanity.io/images/r4og35qd/production/8f7c637ef0bc21ccab0378cf0cf94cd5f9429780-1000x1000.png	in stock	1899.99 USD	F.A.S. Motorsports	new	1	performance_parts	10.00 lb	physical > Billet Parts	Billet Parts	This 130mm Billet Supercharger snout will be a DIRECT BOLT ON to your factory 2.4L Supercharger. | Pre-Orders are NOW LIVE! | Installation service required; shipping not available.	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Billet Parts | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Billet Parts | section_name:Fitment & Category; attribute_name:Tags; attribute_value:Supercharger Components, 2.4l	BILT-636	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	install_only	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/dff65473cadacb5ac0f0c9857a0475a6652aed92-1000x1000.png,https://cdn.sanity.io/images/r4og35qd/production/8778c86dbe55203927c2d2a77c69d14795758b61-1000x1000.png,https://cdn.sanity.io/images/r4og35qd/production/457f25efec5f4221e86ee88e60b530eb0bed3abb-1000x1000.png
TRX-2ERZ-FAS	2.7L Billet Supercharger Snout	The FAS Motorsports 2.7L billet supercharger snout delivers high flow performance for Hellcat, Redeye, Demon, and Trackhawk platforms. Engineered with a 108mm supercharger inlet for superior airflow, unmatched strength, and maximum horsepower gains on 2.7L supercharged builds.	https://www.fasmotorsports.com/shop/2-7l-hellcat-billet-supercharger-snout	https://cdn.sanity.io/images/r4og35qd/production/c6e3d6997f4531253c60b0ade1d581a66beab609-1800x2400.jpg	in stock	1899.99 USD	F.A.S. Motorsports	new	30	performance_parts	1.00 lb	physical > Billet Parts	Billet Parts	The FAS Motorsports 2.7L billet supercharger snout delivers high flow performance for Hellcat, Redeye, Demon, and Trackhawk platforms. | Engineered with a 108mm supercharger inlet for superior airflow, unmatched strength, and maximum horsepower gains on 2.7L supercharged builds. | 2.7L Billet Supercharger Snout: 1	section_name:Performance Profile; attribute_name:2.7L Billet Supercharger Snout; attribute_value:1 | section_name:Fitment & Category; attribute_name:Categories; attribute_value:Billet Parts | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Billet Parts | section_name:Fitment & Category; attribute_name:Tags; attribute_value:Snouts, Supercharger Components	FAS-HC-008LM	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/68cc67e1c777c6364c83ae6fea3bda70698c0b5a-1800x1697.jpg,https://cdn.sanity.io/images/r4og35qd/production/a557c96853087060f6e7d866c4a5b831b3b805e4-1800x2400.jpg,https://cdn.sanity.io/images/r4og35qd/production/d41ddda01c940d05e57ec48bb60af51298eb7fa9-2400x1800.jpg,https://cdn.sanity.io/images/r4og35qd/production/c8b70af3bab74b5168ce4960a3bc655259f821a5-2400x1800.jpg
PR-RM6S-FAS	F.A.S. 2020+ 6.7L Powerstroke Piping Kit	Unlock maximum power and reliability with the F.A.S. Motorsports 6.7L Powerstroke Piping Kit. This USA-made, TIG-welded stainless steel upgrade is engineered with a V-Band clamp to prevent boost leaks, delivering dyno-proven gains in HP, torque, and throttle response.	https://www.fasmotorsports.com/shop/2020-6-7l-powerstroke-piping-kit	https://cdn.sanity.io/images/r4og35qd/production/5625a424c5a681eab8e4887509f74bc4daff507f-1000x1000.png	in stock	1599.99 USD	F.A.S. Motorsports	new	30	performance_parts	1.00 lb	physical > Performance Upgrades > Custom Fabrication	Performance Upgrades	Unlock maximum power and reliability with the F.A.S. | Motorsports 6.7L Powerstroke Piping Kit. | This USA-made, TIG-welded stainless steel upgrade is engineered with a V-Band clamp to prevent boost leaks, delivering dyno-proven gains in HP, torque | Pipe Diameter: 3" | Finish: Raw Stainless & Aluminum | Includes: V-Band Clamp, O-Rings, Piping, Silicone Boots, and 1 more	section_name:Performance Profile; attribute_name:Pipe Diameter; attribute_value:3" | section_name:Performance Profile; attribute_name:Finish; attribute_value:Raw Stainless & Aluminum | section_name:Included Components; attribute_name:Package includes; attribute_value:V-Band Clamp; O-Rings; Piping; Silicone Boots; Hardware | section_name:Fitment & Category; attribute_name:Categories; attribute_value:Performance Upgrades, Custom Fabrication | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Performance Upgrades > Custom Fabrication	piping kit	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/d673eacbc86ccad0d807d3f1ba6cc37b2c1e48e3-1512x2016.jpg,https://cdn.sanity.io/images/r4og35qd/production/58afd6ad00d610ebc8d167076dfc0374f40d9f6d-1512x2016.jpg,https://cdn.sanity.io/images/r4og35qd/production/355335dbe99ddfb582c55b1e68c1ab5bd590bd15-1512x2016.jpg
UN-OQ58-FAS	2.7L Xtreme Ported and Polished Bearing Plate	2.7L Xtreme Ported and Polished Bearing Plate	https://www.fasmotorsports.com/shop/2-7l-xtreme-ported-and-polished-bearing-plate	https://cdn.sanity.io/images/r4og35qd/production/047e56339211a367b4a7feeeb3f88113f718d858-1320x1580.jpg	in stock	899.00 USD	FAS Motorsports	new	5	performance_parts	1.00 lb	physical > Supercharger Components > Porting	Supercharger Components	2.7L Xtreme Ported and Polished Bearing Plate	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Supercharger Components, Porting | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Supercharger Components > Porting	UN-OQ58	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/80e28aee94028fdb258026deb51389656e434290-1320x1778.jpg,https://cdn.sanity.io/images/r4og35qd/production/46e7ee5251727d9076b2e106d366b6fb2c0aea33-1206x2218.jpg
HC-FEYB-FAS	Upgraded Hellcat Supercharger Bearing Plate Bearings	Upgraded Hellcat Supercharger Bearing Plate Bearings	https://www.fasmotorsports.com/shop/upgraded-hellcat-supercharger-bearing-plate-bearings	https://cdn.sanity.io/images/r4og35qd/production/4e8ddbccea236f62e2752e19dd9eafe19c2667e1-2400x1800.jpg	in stock	199.99 USD	FAS Motorsports	new	50	performance_parts	1.00 lb	physical > Supercharger Components	Supercharger Components	Upgraded Hellcat Supercharger Bearing Plate Bearings	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Supercharger Components | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Supercharger Components	HC-FEYB	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/99edbf46eacab1db0bddf77247cc9dfdf4404eaf-2400x1800.jpg,https://cdn.sanity.io/images/r4og35qd/production/01c3e5436a239c7883ef733efab0d0a6ae54aa07-2400x1800.jpg
HC-TLQL-FAS	Hellcat 426 Short block (BGE)	Brand New Hellcat 426 Stroker Short Block	https://www.fasmotorsports.com/shop/hellcat-426-short-block	https://cdn.sanity.io/images/r4og35qd/production/42c9a872513b56137c4300ca849e3eb2f6b85057-5712x4284.jpg	in stock	9499.00 USD	F.A.S. Motorsports	new	30	performance_parts	1.00 lb	physical > Performance Upgrades	Performance Upgrades	Brand New Hellcat 426 Stroker Short Block	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Performance Upgrades | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Performance Upgrades	HC-TLQL	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	ships_available	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/f996121e4ebf58a7437b5afd08203a392b04b7eb-5712x4284.jpg,https://cdn.sanity.io/images/r4og35qd/production/5e748e6b48538516a3a8078ab0134ba4bc9a21d6-5712x4284.jpg
TRX-4NDF-FAS	Billet Hellcat Supercharger Lid	Upgrade your Hellcat’s performance and style with the FAS Motorsports Billet Supercharger Lid. Precision-machined from high-quality billet aluminum, this lid offers improved cooling efficiency and superior durability. Engineered for optimal airflow and an aggressive look, it’s a direct replacement for your factory lid—perfect for enthusiast builds and demanding track applications.	https://www.fasmotorsports.com/shop/fas-motorsports-billet-hellcat-supercharger-lid	https://cdn.sanity.io/images/r4og35qd/production/619eb60fefa86f2968ed66b195094231ff107ae4-800x800.png	in stock	1899.99 USD	F.A.S. Motorsports	new	30	performance_parts	12.00 lb	physical > Billet Parts	Billet Parts	Upgrade your Hellcat’s performance and style with the FAS Motorsports Billet Supercharger Lid. | Precision-machined from high-quality billet aluminum, this lid offers improved cooling efficiency and superior durability. | Engineered for optimal airflow and an aggressive look, it’s a direct replacement for your factory lid—perfect for enthusiast builds and demanding trac | Installation service required; shipping not available.	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Billet Parts | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Billet Parts | section_name:Fitment & Category; attribute_name:Tags; attribute_value:Supercharger Components, Supercharger	FAS-UNI-012ZD	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	install_only	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/ab59f44b6d7c3e7cd6e752a9de46f6a101c9321d-800x800.png
HC-PYAY-FAS	2.4L Hellcat 130mm Billet Supercharger Snout & 130mm Throttle Body	This 130mm Billet Supercharger snout will be a DIRECT BOLT ON to your factory 2.4L Supercharger. Also Included in this package is our all new 130mm Throttle Body to match the massive 130mm inlet of the billet snout!	https://www.fasmotorsports.com/shop/2-4l-hellcat-130mm-billet-supercharger-snout-and-130mm-throttle-body	https://cdn.sanity.io/images/r4og35qd/production/453895476c0edeee0026b8b842fe5a14d7672dda-1746x1195.jpg	in stock	2599.99 USD	F.A.S. Motorsports	new	1	performance_parts	10.00 lb	physical > Billet Parts	Billet Parts	This 130mm Billet Supercharger snout will be a DIRECT BOLT ON to your factory 2.4L Supercharger. | Also Included in this package is our all new 130mm Throttle Body to match the massive 130mm inlet of the billet snout! | Installation service required; shipping not available.	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Billet Parts | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Billet Parts	FAS-HC-130BP	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	install_only	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/fbe968a5bd5ec6425b31402b6f9e4975c4923f2a-1320x956.jpg,https://cdn.sanity.io/images/r4og35qd/production/1c67c0ed014064d935c2961751c8c3117dcff4be-1320x971.jpg,https://cdn.sanity.io/images/r4og35qd/production/5cc95296be063a52334f947961f73bd7bc94d699-1320x953.jpg
HC-FYZV-FAS	Hellcat Billet Air Foil	HELLCAT BILLET AIR FOIL FOR ALL HELLCAT SUPERCHARGERS	https://www.fasmotorsports.com/shop/hellcat-billet-air-foil	https://cdn.sanity.io/images/r4og35qd/production/17753bb30426a49a3bd3998dae43dac83bbe2ff3-2400x1800.jpg	in stock	75.00 USD	FAS Motorsports	new	50	performance_parts	1.00 lb	physical > Billet Parts > Supercharger Components	Billet Parts	HELLCAT BILLET AIR FOIL FOR ALL HELLCAT SUPERCHARGERS | Installation service required; shipping not available.	section_name:Fitment & Category; attribute_name:Categories; attribute_value:Billet Parts, Supercharger Components | section_name:Product Type; attribute_name:Hierarchy; attribute_value:physical > Billet Parts > Supercharger Components	HC-FYZV	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	performance_product	install_only	ads_redirect_disabled	https://cdn.sanity.io/images/r4og35qd/production/152e9c3ca12d017904f95324401f2cf8e47c702c-1320x940.jpg,https://cdn.sanity.io/images/r4og35qd/production/d1f28fa362fea34d258fe370d0fcfa3701d5e71b-1800x2400.jpg
