priority_tier,sanity_product_id,sanity_slug,sanity_title,medusa_product_id,medusa_handle,addon_count,addon_labels,addon_value,complexity_score,migration_notes
1,product-073d7076-4214-4d8e-a3ea-1836f5d471c5,mustang-gt-intake-manifold-porting,"2018+ Mustang GT Intake Manifold Race Porting Service",prod_01KG5WRETVHYKPD5CY4A273R4J,mustang-gt-intake-manifold-porting,1,"FAST LANE PRIORITY BUILD",400.00,10,"Standard: Priority Build option"
1,product-0eeb026a-872e-44d8-9a7c-f5ccfdbc6265,hellcat-snout-painting,"Hellcat Supercharger Snout Painting | Custom High-Temp Coating",prod_01KG5WRG5Q3A8ECDXWPPXKAKT1,hellcat-snout-painting,1,"Core Exchange",600.00,10,"Special: Core Handling option (high value)"
1,product-1d6b6a35-791c-4157-8826-2dceac4269ed,audi-eaton-supercharger-porting,"Audi Eaton Supercharger Porting",prod_01KG5WRKM4W8T4SE2RGHKY9EAQ,audi-eaton-supercharger-porting,1,"FAST LANE PRIORITY BUILD",400.00,10,"Standard: Priority Build option"
1,product-3b1b40ae-3815-4344-99bb-fe7d9171524d,fas-predator-lower-pulley-no-tune-required,"F.A.S. Predator Lower Pulley",prod_01KG5WRTN6TD5T4A4WV45ZNWE7,fas-predator-lower-pulley-no-tune-required,1,"Green belt",60.00,10,"Review addOns structure"
1,product-430556aa-743b-4871-8657-833003e71d8f,hellcat-throttle-body-porting,"Hellcat Throttle Body Porting",prod_01KG5WRYBNX24F9ZBD5FVGC7YN,hellcat-throttle-body-porting,1,"CORE Exchange Program",299.00,10,"Special: Core Handling option (high value)"
1,product-9181612b-2662-4472-8450-9681e77a3246,2-4l-2-7l-snout-rebuild,"FAS 2.4L / 2.7L Hellcat Snout Rebuild",prod_01KG5WSEP31K3YKD4YKG6JH7QT,2-4l-2-7l-snout-rebuild,1,"Race Bearing Upgrade",150.00,10,"Review addOns structure"
1,product-f4486740-2681-426d-8441-6f86dbeb2244,180-hellcat-thermostat,"FAS 180° Hellcat Thermostat",prod_01KG5WT0K1V39TYTT8EJDT6PQM,180-hellcat-thermostat,2,"Supercharger Thermal Blanket | Ram TRX 5” High Flow Cold Air Intake",689.00,20,"Review addOns structure"
2,a05acd88-0ea9-4aaf-8f78-cdc322953948,2020-6-7l-powerstroke-piping-kit,"F.A.S. 2020+ 6.7L Powerstroke Piping Kit",prod_01KG5WR3V5KAKC6TGVAPR4K81V,2020-6-7l-powerstroke-piping-kit,3,"Powder Coating | Coolant Line Kit | CCV Reroute",875.00,30,"Standard: Coating option"
2,product-66300c32-e5a3-48d9-8348-8c842633a15f,trx-performance-drop-in-filters-pair,"TRX Drop-In Air Filter Set – Pair (OEM Box Compatible)",prod_01KG5WS4ND0A9H4Y7PVDEW2KRF,trx-performance-drop-in-filters-pair,3,"Ram TRX 5” High Flow Intake w/ Heat Shield | High-flow Race Midpipes | Custom Tuning",2598.00,32,"Review addOns structure"
2,4052f66f-6d2e-47f2-b0c5-38bf66ac70cc,2-7l-ihi-supercharger-rebuild,"FAS 2.7L IHI Supercharger Rebuild",prod_01KG5WQYJSSYYYXJWYBCP7BP65,2-7l-ihi-supercharger-rebuild,4,"Shipping Box | High Temp Ceramic Coating - Lid | High Temp Ceramic Coating- Full | FAST LANE PRIORITY BUILD",1250.00,41,"Standard: Priority Build option | Standard: Coating option | Standard: Shipping Protection option"
2,product-a59c9d4e-579b-47c9-a3c7-39c450bc4d4d,2-4l-ihi-supercharger-rebuild,"FAS 2.4L IHI Supercharger Rebuild",prod_01KG5WSN4EVDPPF0JTVMV2F8B3,2-4l-ihi-supercharger-rebuild,4,"FAST LANE PRIORITY BUILD | Shipping Box | High Temp Ceramic Coating - Lid | High Temp Ceramic Coating- Full",1250.00,41,"Standard: Priority Build option | Standard: Coating option | Standard: Shipping Protection option"
3,product-98cd7af2-8b05-4efa-af3e-a1d2459fbbc1,2-7l-redeye-supecharger-race-ported-core-provided,"2.7L Redeye Supercharger Race Ported Core",prod_01KG5WSH8J57NXB3J8BH5JGJ7W,2-7l-redeye-supecharger-race-ported-core-provided,7,"Upgraded Ceramic Race Bearings | Full Ceramic High Temp Coating | Lid Ceramic High Temp Coating | Blower Case Runner Porting | Dominator Race Elite | Core Exchange Program | Supercharger Shipping Box",8595.00,78,"Standard: Shipping Protection option | Special: Core Handling option (high value) | Special: Porting option | ⚠️ Complex: Manual review recommended"
3,product-9cc858d1-1207-4cf1-ad16-4800fb10edd8,dominator-2-4l-supercharger-package,"2.4L Dominator Race Supercharger Package",prod_01KG5WSJQYMXTH6EC8YXMHC8Z6,dominator-2-4l-supercharger-package,8,"Blower Case Runner Porting | Ceramic Race Bearing Upgrade | High Temp Ceramic Paint - Full | High Temp Ceramic Paint -Lid | Core Exchange Program | Purchase 2.4L Core | FAST LANE PRIORITY BUILD | Shipping Box",6350.00,86,"Standard: Priority Build option | Standard: Shipping Protection option | Special: Core Handling option (high value) | Special: Porting option | ⚠️ Complex: Manual review recommended"
